House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,Kitchen_kW,AC_BR_kW,AC_LR_kW,AC_MBR_kW
House4,2018-06-03 13:00:00,1.1817600000000006,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0018349999999999985,0.3834749999999999,0.005699999999999999,0.004081666666666668,0.010245
House4,2018-06-03 14:00:00,1.0503716666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015766666666666663,0.39783333333333337,0.005743333333333329,0.004131666666666668,0.010208333333333328
House4,2018-06-03 15:00:00,2.3600900000000005,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0007800000000000001,0.43949666666666665,1.0380483333333332,0.005855,0.011440000000000002
House4,2018-06-03 16:00:00,2.5007616666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0010683333333333337,0.4443066666666667,1.0234283333333336,0.005736666666666665,0.011659999999999998
House4,2018-06-03 17:00:00,2.46286,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00122,0.4395133333333334,0.9033533333333332,0.005573333333333331,0.011606666666666664
House4,2018-06-03 18:00:00,3.889780000000001,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0007549999999999994,0.4120833333333334,0.8917699999999998,0.5103800000000001,0.012728333333333326
House4,2018-06-03 19:00:00,4.796306666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00019000000000000006,0.4201616666666668,0.8812716666666665,1.79188,0.013238333333333342
House4,2018-06-03 20:00:00,2.4374000000000007,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015599999999999993,0.4533083333333334,0.8727599999999999,0.03780833333333327,0.01190333333333334
House4,2018-06-03 21:00:00,1.7658799999999997,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015400000000000006,0.4531766666666667,0.3304499999999993,0.09895,0.011283333333333336
House4,2018-06-03 22:00:00,4.723829999999999,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0005649999999999999,0.4481,0.07691833333333334,1.6198433333333333,1.0094683333333336
House4,2018-06-03 23:00:00,4.777978333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0013133333333333339,0.3959083333333333,0.92018,0.0065083333333333295,1.276676666666667
House4,2018-06-04 00:00:00,3.447028333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015450000000000006,0.3612916666666667,0.5685283333333333,0.005978333333333336,0.86388
House4,2018-06-04 01:00:00,3.471753333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016099999999999984,0.40271333333333337,0.5517933333333335,0.005948333333333335,0.8547416666666667
House4,2018-06-04 02:00:00,3.4922366666666664,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015883333333333329,0.4435766666666667,0.5453416666666667,0.0059316666666666676,0.8452716666666666
House4,2018-06-04 03:00:00,3.462464999999999,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015299999999999995,0.4143133333333332,0.543075,0.005821666666666671,0.8463233333333332
House4,2018-06-04 04:00:00,3.2662083333333323,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001426666666666666,0.3946250000000001,0.5376616666666666,0.00576,0.8289266666666666
House4,2018-06-04 05:00:00,3.1344016666666663,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001421666666666666,0.3577983333333334,0.5321766666666665,0.005709999999999996,0.8200733333333337
House4,2018-06-04 06:00:00,3.008565,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015200000000000005,0.3477716666666668,0.5363399999999999,0.0056583333333333295,0.8092533333333332
House4,2018-06-04 07:00:00,3.0452133333333324,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012916666666666675,0.3799866666666669,0.5419066666666666,0.005481666666666668,0.82816
House4,2018-06-04 08:00:00,3.109821666666667,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012116666666666664,0.3928050000000001,0.5255716666666669,0.005399999999999999,0.8581733333333331
House4,2018-06-04 09:00:00,1.2844799999999996,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015166666666666668,0.39461333333333337,0.006656666666666664,0.004481666666666665,0.05822666666666675
House4,2018-06-04 10:00:00,0.4332600000000001,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.16703666666666647,0.07416500000000019,0.0014366666666666664,0.0009316666666666668,0.0026216666666666584
House4,2018-06-04 11:00:00,1.7479100000000003,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0038133333333333326,0.42325,0.006161666666666664,0.0030499999999999985,0.009398333333333337
House4,2018-06-04 12:00:00,2.545738333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0022083333333333334,0.46052,0.007563333333333336,0.004098333333333337,0.011713333333333327
House4,2018-06-04 13:00:00,0.5117816666666658,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00054,0.08933166666666692,0.0018250000000000024,0.0010466666666666682,0.0027799999999999986
