House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DNR_kW,Kitchen_kW
House33,2018-06-02 19:00:00,1.8568066666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.11957166666666667,0.002311666666666665,0.3242866666666668
House33,2018-06-02 20:00:00,1.5279183333333335,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.09486000000000004,0.0016416666666666665,0.17711500000000002
House33,2018-06-02 21:00:00,1.5730950000000001,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06564999999999999,0.029844999999999993,0.168705
House33,2018-06-02 22:00:00,2.389853333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.09866,0.05694666666666666,0.16189499999999996
House33,2018-06-02 23:00:00,2.385018333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.09872166666666668,0.056960000000000025,0.153025
House33,2018-06-03 00:00:00,2.056646666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08650333333333335,0.04660166666666668,0.14748
House33,2018-06-03 01:00:00,2.045745,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08600666666666666,0.045738333333333325,0.1572083333333333
House33,2018-06-03 02:00:00,2.47326,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.11825666666666665,0.042498333333333325,0.10392666666666664
House33,2018-06-03 03:00:00,2.180815,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.1006533333333333,0.04085333333333333,0.13671833333333333
House33,2018-06-03 04:00:00,1.6710633333333331,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.07162666666666667,0.03812333333333336,0.1840183333333333
House33,2018-06-03 05:00:00,1.5339233333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06600666666666667,0.03528333333333334,0.17498166666666667
House33,2018-06-03 06:00:00,1.6416333333333342,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0706183333333333,0.03716166666666668,0.16755000000000006
House33,2018-06-03 07:00:00,1.5663116666666668,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06654999999999997,0.03707,0.15852666666666668
House33,2018-06-03 08:00:00,1.6499000000000004,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06984166666666666,0.03896166666666665,0.15153333333333333
House33,2018-06-03 09:00:00,1.0737599999999998,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04787666666666665,0.015613333333333325,0.16773000000000002
House33,2018-06-03 10:00:00,0.9920300000000002,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.033051666666666674,0.011996666666666664,0.1544200000000001
House33,2018-06-03 11:00:00,0.8068116666666664,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.024141666666666662,0.008335000000000002,0.08286333333333333
House33,2018-06-03 12:00:00,2.8672200000000005,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.5101099999999997,0.018471666666666667,0.1173366666666666
House33,2018-06-03 13:00:00,1.0534449999999995,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.1515,0.008700000000000001,0.0679
House33,2018-06-03 14:00:00,1.2867900000000003,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05706833333333331,0.020629999999999992,0.15132833333333334
House33,2018-06-03 15:00:00,1.1517966666666666,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.051101666666666636,0.02048833333333333,0.1458
House33,2018-06-03 16:00:00,1.260785,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05303499999999997,0.02422833333333332,0.08470833333333343
House33,2018-06-03 17:00:00,2.114125,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.13367666666666667,0.00987666666666667,0.17404999999999998
House33,2018-06-03 18:00:00,1.8788799999999999,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.12413000000000005,0.002743333333333334,0.24528999999999995
