House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,W_AC_kW,UPS_kW
House20,2018-06-02 06:00:00,2.4033966666666675,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7770099999999998,0.0016916666666666649,0.6331166666666668
House20,2018-06-02 07:00:00,1.049168333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.4505816666666662,0.000576666666666666,0.5951433333333335
House20,2018-06-02 08:00:00,0.4903816666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002983333333333335,0.00017499999999999994,0.4836933333333333
House20,2018-06-02 09:00:00,0.5096400000000005,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0004433333333333332,9.166666666666668e-05,0.5050633333333331
House20,2018-06-02 10:00:00,0.8517400000000002,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00020833333333333332,0.00022166666666666656,0.8355316666666666
House20,2018-06-02 11:00:00,0.2140433333333336,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,4.8333333333333334e-05,8.333333333333333e-05,0.202
House20,2018-06-02 12:00:00,0.8021616666666668,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00013666666666666658,0.00017499999999999994,0.7721016666666668
House20,2018-06-02 13:00:00,0.8495383333333335,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002516666666666668,0.00021499999999999994,0.8374283333333334
House20,2018-06-02 14:00:00,0.9189616666666668,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00026999999999999995,0.0002066666666666666,0.9002833333333335
House20,2018-06-02 15:00:00,0.2016033333333328,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,4.3333333333333334e-05,4e-05,0.20014166666666625
House20,2018-06-02 16:00:00,0.9307016666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00016333333333333334,0.0002833333333333333,0.9020666666666666
House20,2018-06-02 17:00:00,1.0883266666666669,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003016666666666667,0.00020000000000000004,1.079275
House20,2018-06-02 18:00:00,1.0198566666666669,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00036833333333333336,0.00022333333333333336,1.0052266666666665
House20,2018-06-02 19:00:00,1.2192150000000004,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003966666666666669,0.00015166666666666668,1.1957266666666666
House20,2018-06-02 20:00:00,1.08157,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00024833333333333353,0.00032,1.0435266666666665
House20,2018-06-02 21:00:00,0.9389250000000006,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0002566666666666668,0.00021833333333333326,0.9309150000000002
House20,2018-06-02 22:00:00,0.8318583333333335,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00021500000000000005,0.00033166666666666674,0.7951866666666667
House20,2018-06-02 23:00:00,2.615928333333334,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7505033333333333,0.0018866666666666656,0.8712683333333334
House20,2018-06-03 00:00:00,2.8848233333333337,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.9666533333333327,0.12680666666666668,0.800245
