House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,AC_LR_kW,AC_MBR_kW,Kitchen_kW
House29,2018-06-02 10:00:00,0.8718716666666668,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,5.333333333333333e-05,0.0014500000000000012,0.33880999999999944,0.08034500000000003
House29,2018-06-02 11:00:00,0.3105599999999999,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.6666666666666669e-06,0.001115,0.002008333333333332,0.1153566666666666
House29,2018-06-02 12:00:00,0.5666283333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0,0.0011500000000000002,0.0017999999999999993,0.228095
House29,2018-06-02 13:00:00,3.2722200000000004,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.046925000000000015,0.0021899999999999992,1.157846666666667,0.1860433333333334
House29,2018-06-02 14:00:00,4.147105000000002,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.007491666666666683,0.002616666666666668,1.8001816666666666,0.15481500000000006
House29,2018-06-02 15:00:00,1.12137,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00011,0.0013000000000000002,0.2387566666666664,0.10835666666666667
House29,2018-06-02 16:00:00,2.337126666666668,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00037500000000000017,0.0015283333333333347,0.0014683333333333323,0.10073666666666664
House29,2018-06-02 17:00:00,2.372183333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0003983333333333333,0.0014900000000000009,0.0015483333333333323,0.12649166666666664
House29,2018-06-02 18:00:00,0.5725883333333335,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.666666666666668e-05,0.001218333333333333,0.001963333333333332,0.21555500000000005
House29,2018-06-02 19:00:00,3.459245,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002566666666666666,0.002546666666666665,1.5314666666666668,0.13463499999999998
