House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,Kitchen_kW,AC_BR_kW,AC_GR_kW,AC_SR_kW,Refrigerator_kW,Kitchen2_kW,AC_BR_kW.1,AC_MBR_kW
House16,2018-06-01 23:00:00,2.195491666666667,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.26997,0.051351666666666684,0.005836666666666671,0.25887666666666664,0.000401666666666667,0.07744500000000003,0.0005283333333333336,0.0012116666666666675,0.005261666666666669
House16,2018-06-02 00:00:00,1.7925250000000006,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2766516666666667,0.051718333333333324,0.005971666666666663,0.11989166666666667,0.0006700000000000002,0.0483216666666666,0.0005766666666666668,0.0012266666666666676,0.005271666666666671
House16,2018-06-02 01:00:00,1.5784650000000002,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2956566666666667,0.0522,0.006086666666666668,0.015048333333333328,0.000695,0.061811666666666674,0.0005500000000000001,0.001245,0.0054416666666666684
House16,2018-06-02 02:00:00,1.7900783333333334,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3611133333333333,0.1184883333333333,0.006196666666666664,0.03610166666666667,0.000606666666666667,0.07176499999999998,0.0005533333333333334,0.0012516666666666668,0.0053950000000000005
House16,2018-06-02 03:00:00,1.9172516666666672,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3507783333333335,0.0697566666666667,0.006050000000000002,0.1387616666666667,0.0005733333333333334,0.08408333333333334,0.0005483333333333335,0.0012783333333333336,0.005443333333333332
House16,2018-06-02 04:00:00,1.4461949999999997,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.18573333333333336,0.05235666666666668,0.005688333333333334,0.015434999999999997,0.0007450000000000003,0.08102833333333331,0.0005483333333333335,0.0013266666666666663,0.005530000000000001
House16,2018-06-02 05:00:00,0.9551666666666668,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.18324833333333332,0.050881666666666665,0.0057366666666666686,0.2108066666666667,0.0005716666666666662,0.05482500000000001,0.0004833333333333337,0.0013699999999999995,0.005454999999999999
House16,2018-06-02 06:00:00,0.80208,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.1538833333333334,0.058845000000000015,0.005763333333333331,0.013818333333333328,0.0007383333333333332,0.045526666666666674,0.0004983333333333337,0.0013366666666666663,0.005411666666666667
House16,2018-06-02 07:00:00,0.795755,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.25501999999999997,0.09001333333333332,0.005853333333333335,0.013168333333333334,0.0006883333333333338,0.060265,0.0004850000000000003,0.0013149999999999991,0.005246666666666668
House16,2018-06-02 08:00:00,0.5484616666666667,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2624366666666667,0.09135333333333327,0.0058000000000000005,0.01455666666666667,0.0007116666666666668,0.10067999999999996,0.0005033333333333335,0.00133,0.005246666666666664
