House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,LR_kW,Kitchen_kW,AC_DNR_kW,AC_BR_kW
House1,2018-07-16 02:00:00,1.4522133333333331,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00029000000000000016,0.210805,0.137935,0.18184833333333336,0.003198333333333335,0.2817266666666668
House1,2018-07-16 03:00:00,1.4433850000000001,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003033333333333335,0.2118283333333333,0.13848500000000005,0.191755,0.003451666666666665,0.2579333333333333
House1,2018-07-16 04:00:00,1.475815,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00029333333333333343,0.2648266666666667,0.1371983333333334,0.18886333333333336,0.0035599999999999994,0.2557366666666667
House1,2018-07-16 05:00:00,1.365983333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010833333333333333,0.2667083333333333,0.1356083333333333,0.18277833333333346,0.005156666666666669,0.26322500000000004
House1,2018-07-16 06:00:00,1.2746350000000004,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00011333333333333333,0.22103333333333328,0.14424333333333333,0.11983,0.004241666666666664,0.23394666666666664
House1,2018-07-16 07:00:00,0.997185,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.66666666666667e-05,0.196565,0.17243333333333324,0.1963116666666667,0.008850000000000005,0.00029499999999999985
House1,2018-07-16 08:00:00,0.860265,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00011666666666666668,0.20977666666666664,0.10462,0.23756000000000005,0.011499999999999998,0.0003733333333333333
House1,2018-07-16 09:00:00,1.1652833333333334,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0001283333333333333,0.2787516666666667,0.12127166666666668,0.2498533333333333,0.012336666666666666,0.0005549999999999999
House1,2018-07-16 10:00:00,1.3084683333333331,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00015833333333333332,0.2055833333333333,0.16181333333333334,0.2545083333333333,0.16924333333333333,0.00024500000000000005
House1,2018-07-16 11:00:00,2.82729,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0001666666666666666,0.20023833333333332,0.18064500000000008,0.21880333333333327,1.4978949999999995,0.0002566666666666668
House1,2018-07-16 12:00:00,2.7616533333333324,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003183333333333333,0.2053083333333333,0.18379833333333329,0.159885,1.508611666666667,0.00012000000000000007
House1,2018-07-16 13:00:00,2.8758966666666668,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003516666666666669,0.21503333333333333,0.181385,0.15745,1.5878566666666667,0.0001283333333333333
House1,2018-07-16 14:00:00,2.872155,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00032833333333333347,0.21627333333333326,0.18080666666666675,0.14944999999999994,1.6004983333333334,0.00013833333333333333
House1,2018-07-16 15:00:00,2.7376050000000007,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0004733333333333333,0.2111033333333333,0.09927500000000017,0.1442266666666667,1.5595050000000004,0.0001183333333333333
House1,2018-07-16 16:00:00,2.900723333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003516666666666669,0.22012000000000004,0.17548666666666665,0.18298499999999995,1.606373333333334,0.0002
House1,2018-07-16 17:00:00,2.9194333333333318,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0006633333333333334,0.22705333333333344,0.07848666666666665,0.2447433333333333,1.6174900000000003,0.000431666666666667
House1,2018-07-16 18:00:00,2.966943333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0005650000000000003,0.2271283333333333,0.14031166666666664,0.2815833333333334,1.5611449999999998,0.00023166666666666661
House1,2018-07-16 19:00:00,3.274391666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00019333333333333336,0.26984833333333336,0.2104283333333333,0.28632666666666673,1.52799,0.041365
House1,2018-07-16 20:00:00,4.373516666666665,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0004116666666666669,0.26393666666666665,0.2058999999999999,0.3158366666666665,1.5284116666666667,0.91019
House1,2018-07-16 21:00:00,3.4368650000000014,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00012500000000000014,0.30290166666666674,0.20561666666666667,0.22237000000000007,1.50482,0.0004366666666666671
House1,2018-07-16 22:00:00,3.304116666666665,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00014833333333333322,0.2445083333333333,0.20619833333333348,0.2296766666666667,1.4777366666666667,0.00015
