House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,Kitchen_kW
House40,2018-06-02 11:00:00,3.479515,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0028249999999999985,0.17927499999999993
House40,2018-06-02 12:00:00,1.1732133333333334,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.05450000000000002,0.2272116666666667
House40,2018-06-02 13:00:00,1.6534600000000002,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.6485033333333325,0.15515333333333334
House40,2018-06-02 14:00:00,0.9767600000000001,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.002858333333333335,0.2320716666666667
House40,2018-06-02 15:00:00,0.7973733333333334,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0027049999999999986,0.227095
House40,2018-06-02 16:00:00,2.3362366666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.5137733333333334,0.2686816666666666
House40,2018-06-02 17:00:00,1.3799666666666668,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.4272200000000004,0.28452166666666673
House40,2018-06-02 18:00:00,0.9905,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.002998333333333335,0.2539266666666666
House40,2018-06-02 19:00:00,2.817886666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.8244049999999998,0.2673483333333333
House40,2018-06-02 20:00:00,2.624733333333333,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7913933333333334,0.19494
House40,2018-06-02 21:00:00,2.6516,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.82838,0.18140833333333325
House40,2018-06-02 22:00:00,2.6056766666666658,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.805248333333333,0.17715333333333333
House40,2018-06-02 23:00:00,2.6584966666666663,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7831516666666662,0.17149
House40,2018-06-03 00:00:00,6.926194999999999,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7933816666666669,0.17218333333333338
House40,2018-06-03 01:00:00,6.8300899999999976,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7585583333333337,0.17923500000000006
House40,2018-06-03 02:00:00,7.172983333333335,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7408866666666662,0.4059316666666665
House40,2018-06-03 03:00:00,6.9572033333333305,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7111133333333337,0.1938833333333334
House40,2018-06-03 04:00:00,6.549115000000001,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.5830950000000004,0.16965666666666662
House40,2018-06-03 05:00:00,6.410936666666666,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.4655249999999995,0.16749333333333333
House40,2018-06-03 06:00:00,5.211640000000001,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.3417416666666676,0.16637833333333338
House40,2018-06-03 07:00:00,4.831549999999999,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0023983333333333326,0.16321833333333333
House40,2018-06-03 08:00:00,4.905166666666669,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0024166666666666672,0.16196333333333332
House40,2018-06-03 09:00:00,2.167978333333333,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0028433333333333323,0.1534916666666667
House40,2018-06-03 10:00:00,2.3062400000000003,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.482341666666667,0.14766
House40,2018-06-03 11:00:00,2.6567200000000004,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.922426666666666,0.146565
House40,2018-06-03 12:00:00,2.5865216666666653,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.96005,0.14429999999999998
House40,2018-06-03 13:00:00,2.479621666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.3926383333333333,0.14528666666666662
House40,2018-06-03 14:00:00,5.6613183333333374,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.08677499999999998,0.14466500000000002
House40,2018-06-03 15:00:00,3.8832699999999996,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.450478333333333,0.14273
House40,2018-06-03 16:00:00,0.90896,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.06222833333333329,0.1979950000000001
House40,2018-06-03 17:00:00,1.31526,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.5116599999999999,0.19565166666666667
House40,2018-06-03 18:00:00,1.153335,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0892133333333333,0.3508483333333333
House40,2018-06-03 19:00:00,1.0585516666666666,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0031633333333333344,0.25395166666666663
House40,2018-06-03 20:00:00,2.2513099999999997,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.4288250000000002,0.17436166666666664
