House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,Kitchen_kW,AC_BR_kW.1,BR_kW
House24,2018-10-08 02:00:00,0.511305,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.19415000000000004,0.09958833333333332,0.0016566666666666667,0.0003016666666666666,0.029283333333333376
House24,2018-10-08 03:00:00,0.4954183333333333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.16283166666666665,0.08404166666666668,0.009984999999999999,0.0002500000000000001,0.02889333333333332
House24,2018-10-08 04:00:00,0.4774983333333334,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.12899333333333332,0.06722833333333338,0.02793000000000001,6.83333333333333e-05,0.02854333333333332
House24,2018-10-08 05:00:00,0.35204833333333324,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.11715833333333335,0.0612716666666667,0.02062333333333332,0.0001116666666666666,0.02811666666666667
House24,2018-10-08 06:00:00,0.29338499999999995,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.050996666666666655,0.028553333333333368,0.02689666666666667,8.833333333333334e-05,0.005813333333333326
House24,2018-10-08 07:00:00,0.20639833333333332,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007664999999999998,0.008596666666666666,0.03740500000000002,8.166666666666667e-05,0.0015533333333333336
House24,2018-10-08 08:00:00,0.26333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007940000000000001,0.006705000000000001,0.03719333333333332,2.333333333333334e-05,0.0013816666666666658
House24,2018-10-08 09:00:00,0.2372033333333333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008101666666666663,0.006669999999999996,0.03883999999999998,9.166666666666668e-05,0.0014533333333333336
House24,2018-10-08 10:00:00,1.6001266666666674,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007630000000000007,0.007813333333333337,0.028628333333333325,0.000793333333333333,1.3586616666666664
House24,2018-10-08 11:00:00,1.2935583333333334,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00778333333333333,0.007436666666666667,0.03969833333333332,0.000623333333333334,0.9318616666666658
House24,2018-10-08 12:00:00,0.4254866666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007948333333333333,0.072435,0.018698333333333327,5.9999999999999974e-05,0.0016383333333333324
House24,2018-10-08 13:00:00,0.4460666666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007950000000000002,0.007035000000000004,0.03095666666666665,0.00040333333333333296,0.0019966666666666683
House24,2018-10-08 14:00:00,0.26981999999999995,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008046666666666664,0.006740000000000002,0.0373,8.666666666666667e-05,0.0017549999999999998
House24,2018-10-08 15:00:00,1.3713516666666663,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00741833333333333,0.007421666666666668,0.035745000000000006,0.0008616666666666665,1.0283933333333333
House24,2018-10-08 16:00:00,1.916848333333333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00748666666666667,0.008033333333333335,0.04202333333333333,0.0011083333333333331,1.6016633333333337
House24,2018-10-08 17:00:00,0.999456666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007649999999999999,0.0072949999999999925,0.03763499999999998,0.0005600000000000001,0.7474566666666668
House24,2018-10-08 18:00:00,1.6239633333333332,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0076216666666666655,0.007816666666666664,0.03957,0.0008700000000000008,1.2938516666666666
House24,2018-10-08 19:00:00,0.8078483333333332,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007755000000000005,0.0070266666666666715,0.04059,0.0006616666666666666,0.4017983333333329
House24,2018-10-08 20:00:00,0.4977616666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008164999999999999,0.007021666666666667,0.042736666666666666,0.00041833333333333344,0.0023233333333333326
House24,2018-10-08 21:00:00,0.8474866666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.16622166666666666,0.08595666666666668,0.02551666666666665,0.0004633333333333339,0.2486400000000003
House24,2018-10-08 22:00:00,0.7463816666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.3748249999999999,0.18947,0.02092166666666667,0.0011083333333333331,0.028026666666666675
