House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_BR_kW.1
House25,2018-06-02 20:00:00,0.4595749999999999,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.06261833333333335,0.0014033333333333328
House25,2018-06-02 21:00:00,1.4834416666666663,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,1.1102483333333333,0.0023066666666666665
House25,2018-06-02 22:00:00,0.5543616666666666,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.15351000000000006,0.0019116666666666663
House25,2018-06-02 23:00:00,2.1888316666666663,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,1.0231016666666666,0.7677083333333332
House25,2018-06-03 00:00:00,1.543621666666667,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.14398499999999992,1.0232
House25,2018-06-03 01:00:00,1.6580000000000004,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.3234433333333323,0.99168
House25,2018-06-03 02:00:00,1.3888733333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006666666666666668,1.1273916666666666
House25,2018-06-03 03:00:00,2.2072,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.7338166666666669,1.1232216666666663
House25,2018-06-03 04:00:00,1.8385,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.4344783333333334,1.106136666666667
House25,2018-06-03 05:00:00,1.835028333333334,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.4321616666666666,1.1070816666666667
