House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,Refrigerator_kW
House42,2018-06-02 07:00:00,0.5240333333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003083333333333333,5.83333333333333e-05,0.05732833333333338
House42,2018-06-02 08:00:00,0.6191399999999999,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002883333333333334,7.999999999999999e-05,0.05503666666666664
House42,2018-06-02 09:00:00,0.5211583333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003833333333333336,6.499999999999995e-05,0.09325666666666664
House42,2018-06-02 10:00:00,0.35997500000000004,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002833333333333335,2.1666666666666674e-05,0.039838333333333364
House42,2018-06-02 11:00:00,0.6766433333333336,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.2607149999999999,1.5000000000000005e-05,0.09110666666666664
House42,2018-06-02 12:00:00,0.5693050000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.20537333333333327,1.833333333333334e-05,0.034060000000000014
House42,2018-06-02 13:00:00,0.4570983333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.006200000000000001,2.8333333333333342e-05,0.098215
House42,2018-06-02 14:00:00,0.4088933333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.001250000000000001,4.833333333333331e-05,0.052075
House42,2018-06-02 15:00:00,0.20313500000000007,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005700000000000003,6.6666666666666675e-06,0.08023666666666665
House42,2018-06-02 16:00:00,0.14195999999999998,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0004600000000000003,6.6666666666666675e-06,0.028695000000000005
House42,2018-06-02 17:00:00,0.4079666666666665,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.04623833333333334,3.3333333333333333e-06,0.08147999999999997
House42,2018-06-02 18:00:00,0.4829216666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.12624333333333332,1.6666666666666669e-06,0.093515
House42,2018-06-02 19:00:00,0.285135,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00027166666666666653,1.6666666666666669e-06,0.0417
House42,2018-06-02 20:00:00,0.314075,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003450000000000001,5e-06,0.0869083333333333
House42,2018-06-02 21:00:00,0.255735,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002366666666666666,0.0,0.03734000000000002
