House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW
House3,2018-06-02 09:00:00,5.159954999999999,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.7650499999999998,0.0013983333333333324,0.38429333333333343
House3,2018-06-02 10:00:00,5.315916666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.77512,0.0013549999999999994,0.4069283333333333
House3,2018-06-02 11:00:00,6.984526666666664,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.203266666666667,0.0015633333333333332,1.3580466666666668
House3,2018-06-02 12:00:00,5.769755000000003,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.3283133333333337,0.0013233333333333337,1.4467166666666669
House3,2018-06-02 13:00:00,7.067668333333333,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0058249999999995,0.32672166666666674,1.486241666666667
House3,2018-06-02 14:00:00,7.2939316666666665,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.6829550000000004,0.3690133333333334,1.346396666666667
House3,2018-06-02 15:00:00,7.662373333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.4177533333333328,0.3805399999999998,1.4226266666666667
House3,2018-06-02 16:00:00,7.4399483333333345,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.2549866666666667,0.3799599999999999,1.4722016666666664
House3,2018-06-02 17:00:00,7.142898333333335,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.4892933333333331,0.15834666666666675,1.4815850000000004
House3,2018-06-02 18:00:00,6.974551666666668,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.1982983333333332,0.016206666666666657,1.4811216666666664
House3,2018-06-02 19:00:00,7.321081666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.1956933333333333,0.23613499999999998,1.56097
House3,2018-06-02 20:00:00,7.873829999999999,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.8275716666666668,0.3887183333333333,1.4992383333333337
House3,2018-06-02 21:00:00,7.227033333333335,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.6595166666666663,0.3979316666666667,1.4386466666666664
House3,2018-06-02 22:00:00,5.317978333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9454483333333332,0.3662816666666666,0.3591300000000001
