House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House37,2018-06-02 05:00:00,1.5604200000000008,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002553333333333333,1.142678333333333,0.2265000000000001,0.1886883333333334
House37,2018-06-02 06:00:00,1.5203866666666668,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0026200000000000004,1.1094433333333336,0.22422166666666668,0.18410166666666666
House37,2018-06-02 07:00:00,1.4757150000000006,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002378333333333333,1.0680100000000001,0.2177249999999999,0.18760166666666672
House37,2018-06-02 08:00:00,1.975531666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002673333333333332,1.2596416666666663,0.21985166666666667,0.14501666666666674
House37,2018-06-02 09:00:00,2.2612333333333328,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0025866666666666672,1.33271,0.23776333333333344,0.05269166666666665
House37,2018-06-02 10:00:00,1.6000849999999998,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002816666666666668,0.7623966666666674,0.22923666666666664,0.016754999999999985
House37,2018-06-02 11:00:00,1.02544,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0028649999999999995,0.001968333333333333,0.2540483333333333,0.08258833333333332
House37,2018-06-02 12:00:00,1.6640599999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.003151666666666665,0.14331499999999994,0.2561966666666666,0.20817666666666665
House37,2018-06-02 13:00:00,3.2603283333333337,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.004053333333333332,1.763941666666667,0.22486666666666671,0.2459316666666667
House37,2018-06-02 14:00:00,4.751195000000001,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.006071666666666662,1.7590250000000005,0.21011333333333326,0.09953999999999998
House37,2018-06-02 15:00:00,4.400504999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.006258333333333332,1.70229,0.2044683333333333,0.09967999999999999
House37,2018-06-02 16:00:00,4.364419999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0062983333333333285,1.6823066666666662,0.21772833333333336,0.07513
House37,2018-06-02 17:00:00,4.547866666666665,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.006253333333333331,1.7906650000000008,0.21716,0.08510999999999999
House37,2018-06-02 18:00:00,4.934314999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.33927333333333337,1.5054416666666663,0.26366999999999996,0.13888833333333336
House37,2018-06-02 19:00:00,5.029491666666668,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.7074216666666673,0.262675,0.25956166666666664,0.01167833333333332
House37,2018-06-02 20:00:00,6.0309116666666664,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.6896200000000003,1.3354383333333326,0.262475,0.000816666666666667
House37,2018-06-02 21:00:00,4.445696666666668,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.6581466666666669,0.0015850000000000007,0.2740866666666666,0.15784333333333322
House37,2018-06-02 22:00:00,3.943013333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.4087733333333332,0.185315,0.2506950000000001,0.12705833333333333
House37,2018-06-02 23:00:00,2.1596599999999997,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.001965000000000001,1.6883233333333338,0.23356166666666664,0.08220666666666666
House37,2018-06-03 00:00:00,1.7394033333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.00214,1.3343933333333338,0.23230333333333344,0.08292833333333331
House37,2018-06-03 01:00:00,1.7169350000000008,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0021149999999999984,1.2951016666666668,0.23001500000000005,0.15351333333333328
House37,2018-06-03 02:00:00,1.6229,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0023383333333333338,1.06063,0.22674833333333336,0.20620166666666667
House37,2018-06-03 03:00:00,1.5253366666666666,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002391666666666666,1.0936449999999998,0.22571999999999995,0.2019416666666667
House37,2018-06-03 04:00:00,1.0716883333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002105,0.7061666666666666,0.22237666666666672,0.12494
House37,2018-06-03 05:00:00,1.2418349999999998,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0022249999999999987,0.7993816666666665,0.2218016666666668,0.21842666666666669
House37,2018-06-03 06:00:00,1.1980033333333338,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002178333333333332,0.7634499999999996,0.21818,0.21419499999999997
House37,2018-06-03 07:00:00,1.1766183333333329,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002161666666666665,0.8292066666666666,0.13607500000000006,0.20917499999999992
