House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,AC_kW,AC_kW.1,Kitchen_kW,WP_kW
House9,2018-06-02 17:00:00,0.5169216666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005166666666666668,0.0016283333333333336,0.00013666666666666675,0.00029999999999999976,0.16866333333333336,0.11106999999999996
House9,2018-06-02 18:00:00,0.4932933333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005983333333333337,0.0017016666666666651,0.00019000000000000004,0.0003966666666666667,0.1726366666666666,0.07633833333333333
House9,2018-06-02 19:00:00,0.3154883333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006316666666666662,0.0024483333333333327,0.00040499999999999987,0.0007333333333333329,0.14998833333333328,0.07839166666666668
House9,2018-06-02 20:00:00,0.20267166666666672,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006866666666666663,0.0024566666666666678,0.0005033333333333337,0.0009300000000000004,0.14767333333333324,0.01620166666666666
House9,2018-06-02 21:00:00,0.2169533333333334,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007066666666666661,0.002441666666666666,0.0004983333333333332,0.0009199999999999988,0.1475266666666667,0.013919999999999984
House9,2018-06-02 22:00:00,0.3958950000000001,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006016666666666668,0.17503499999999994,0.000515,0.0007666666666666666,0.14793,0.02710833333333333
House9,2018-06-02 23:00:00,1.9417466666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00021500000000000005,1.2457033333333338,0.3335066666666666,0.0003816666666666668,0.14564999999999995,0.0784716666666667
House9,2018-06-03 00:00:00,2.800691666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0002233333333333332,1.2212716666666668,1.18554,0.0008850000000000008,0.14337000000000005,0.09101999999999996
House9,2018-06-03 01:00:00,2.820795,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00015666666666666647,1.2059516666666668,1.1753566666666668,0.0008633333333333342,0.14888833333333334,0.1172816666666666
House9,2018-06-03 02:00:00,2.8938316666666664,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00010666666666666664,1.1901533333333336,1.1686533333333335,0.00091,0.20870166666666665,0.15308
House9,2018-06-03 03:00:00,2.716134999999998,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,2.0000000000000005e-05,1.1678916666666666,1.1486766666666666,0.0007816666666666673,0.15800833333333328,0.08304833333333334
House9,2018-06-03 04:00:00,1.7068599999999998,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00029666666666666665,1.1378766666666666,0.2875533333333335,0.00018999999999999977,0.14736500000000002,0.06265
House9,2018-06-03 05:00:00,1.461968333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00033000000000000027,1.137465,0.0008033333333333336,4.666666666666665e-05,0.14415166666666668,0.1103666666666667
House9,2018-06-03 06:00:00,1.0868083333333334,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003116666666666666,0.8142250000000001,0.0006266666666666664,0.0004266666666666669,0.02500166666666664,0.08639166666666669
House9,2018-06-03 07:00:00,0.8976433333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003383333333333333,0.6873383333333333,0.0005416666666666665,0.0005499999999999998,0.00031333333333333354,0.0005849999999999999
House9,2018-06-03 08:00:00,2.020631666666666,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0002383333333333332,0.8042983333333333,1.0269783333333329,0.00037,0.0003083333333333334,0.00032499999999999993
House9,2018-06-03 09:00:00,2.269425,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00027166666666666653,0.8792599999999998,1.2205483333333338,0.00035166666666666674,0.000795,0.00028499999999999993
House9,2018-06-03 10:00:00,1.0595950000000005,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003616666666666667,0.4722716666666664,0.4319199999999998,0.0006533333333333335,0.0003233333333333333,0.0003883333333333337
House9,2018-06-03 11:00:00,1.3606933333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00018333333333333334,0.003975000000000003,1.2831900000000005,0.0004933333333333338,0.00022333333333333336,0.00013000000000000002
House9,2018-06-03 12:00:00,0.8815083333333332,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003033333333333333,0.003253333333333333,0.7833099999999996,0.0007383333333333329,0.021780000000000004,0.00019166666666666654
House9,2018-06-03 13:00:00,1.4272516666666664,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0002399999999999999,0.003910000000000001,1.2773416666666664,0.0002383333333333332,0.11531166666666667,5.83333333333333e-05
House9,2018-06-03 14:00:00,1.7807783333333336,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0002833333333333333,1.0515116666666668,0.4538466666666671,0.0005100000000000008,0.16903499999999996,0.0006283333333333335
House9,2018-06-03 15:00:00,0.6886166666666669,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005116666666666668,0.3638266666666667,0.0004000000000000003,0.00043500000000000017,0.1578883333333333,0.0005750000000000003
House9,2018-06-03 16:00:00,0.9426216666666668,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004483333333333335,0.5008749999999998,0.00046166666666666643,0.0003400000000000001,0.15492,0.12764666666666666
House9,2018-06-03 17:00:00,0.9892816666666664,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00045999999999999996,0.5458983333333333,0.0005216666666666665,0.00035500000000000017,0.15354166666666672,0.14486
House9,2018-06-03 18:00:00,1.008163333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.3400133333333332,0.1870833333333333,0.0003533333333333331,0.0007933333333333334,0.18835,0.15657333333333326
House9,2018-06-03 19:00:00,0.16773499999999994,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007799999999999999,0.0027599999999999994,0.000606666666666667,0.0009783333333333337,0.16242500000000007,0.000185
House9,2018-06-03 20:00:00,1.0075033333333334,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005383333333333337,0.8088983333333334,0.0006683333333333332,0.0004516666666666663,0.16339166666666666,0.01921333333333334
House9,2018-06-03 21:00:00,1.2676633333333327,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005900000000000002,0.8806083333333331,0.0006616666666666673,0.0003033333333333333,0.2555333333333333,0.07720333333333335
