House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW,AC_BR_kW.1
House38,2018-06-02 05:00:00,1.8103133333333328,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.1207866666666668,0.0001233333333333333,0.044769999999999976,0.09138166666666668,0.09236833333333334
House38,2018-06-02 06:00:00,3.0774383333333337,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.0914750000000002,0.0002299999999999999,0.037124999999999984,0.12346500000000002,1.4432833333333333
House38,2018-06-02 07:00:00,3.167785,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.2426116666666664,0.00023666666666666665,0.04238999999999997,0.09219000000000004,1.42511
House38,2018-06-02 08:00:00,3.231671666666668,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.3679783333333335,0.00032,0.03408666666666666,0.1002516666666666,1.433023333333333
House38,2018-06-02 09:00:00,3.2929183333333327,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.49486,0.0003416666666666667,0.04033166666666664,0.10363166666666672,1.474848333333334
House38,2018-06-02 10:00:00,3.5078100000000005,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7037316666666669,0.0003716666666666669,0.0347133333333333,0.08309166666666674,1.5083366666666669
House38,2018-06-02 11:00:00,3.668178333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7703133333333334,0.0004083333333333335,0.04450999999999996,0.11948999999999994,1.555181666666667
House38,2018-06-02 12:00:00,1.4248149999999995,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.8204749999999994,0.00016499999999999992,0.03220666666666665,0.09901666666666666,0.30428833333333394
House38,2018-06-02 13:00:00,0.6354733333333337,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004643333333333335,0.0002283333333333333,0.047689999999999996,0.07815666666666668,0.002620000000000002
House38,2018-06-02 14:00:00,0.8773850000000003,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0042433333333333325,0.00038166666666666633,0.047446666666666665,0.11703166666666664,0.0024566666666666665
House38,2018-06-02 15:00:00,0.7467616666666667,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0051016666666666675,0.00014,0.04601833333333335,0.08995500000000001,0.0030549999999999983
House38,2018-06-02 16:00:00,0.6876400000000003,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0051466666666666674,0.0001316666666666666,0.05079333333333333,0.1019483333333333,0.0030650000000000018
House38,2018-06-02 17:00:00,0.8518399999999999,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.00455,0.0001716666666666667,0.04120999999999998,0.11619166666666672,0.0026283333333333345
House38,2018-06-02 18:00:00,1.0543016666666665,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0052800000000000034,0.0002283333333333333,0.17336500000000002,0.16049833333333333,0.0032566666666666647
House38,2018-06-02 19:00:00,1.027375,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0042816666666666645,0.0004299999999999998,0.09680166666666667,0.1621466666666667,0.002663333333333334
House38,2018-06-02 20:00:00,0.979025,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0040416666666666665,0.00040500000000000014,0.05382833333333332,0.11363333333333335,0.0024100000000000002
House38,2018-06-02 21:00:00,0.8792566666666664,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004883333333333332,0.00015999999999999996,0.04011999999999998,0.15698833333333334,0.002971666666666668
House38,2018-06-02 22:00:00,0.9650266666666668,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0035716666666666657,0.0004433333333333333,0.06335166666666665,0.15803499999999998,0.002366666666666667
House38,2018-06-02 23:00:00,1.0278799999999997,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003544999999999999,0.0005633333333333334,0.07167166666666665,0.1574416666666666,0.0023649999999999995
House38,2018-06-03 00:00:00,1.053371666666667,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004561666666666665,0.0004033333333333327,0.056079999999999984,0.1518966666666666,0.002881666666666666
House38,2018-06-03 01:00:00,0.9460050000000002,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.005118333333333334,0.00015666666666666655,0.04384166666666664,0.11219500000000003,0.003015000000000002
House38,2018-06-03 02:00:00,1.3307883333333332,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.4031733333333334,0.00030666666666666657,0.09414999999999996,0.12486833333333335,0.0025250000000000003
House38,2018-06-03 03:00:00,0.994355,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0025399999999999997,0.00029833333333333323,0.04396333333333333,0.15486000000000005,0.0020350000000000004
House38,2018-06-03 04:00:00,2.137821666666667,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.5875216666666665,0.0002000000000000001,0.04839999999999997,0.11751333333333333,0.002880000000000002
House38,2018-06-03 05:00:00,2.05694,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.5216083333333337,0.00017833333333333332,0.03730499999999999,0.100925,0.0030133333333333344
House38,2018-06-03 06:00:00,2.21315,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.4220683333333335,0.00020666666666666652,0.051944999999999984,0.11048499999999993,0.2554866666666667
House38,2018-06-03 07:00:00,3.476806666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.4369716666666668,0.00033000000000000016,0.04146000000000001,0.11062666666666668,1.508698333333333
House38,2018-06-03 08:00:00,3.3572800000000003,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.5612266666666668,0.00029333333333333305,0.04633333333333335,0.08643833333333324,1.2946083333333325
House38,2018-06-03 09:00:00,2.069621666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.688718333333333,0.0002283333333333333,0.041096666666666656,0.12158833333333335,0.0027866666666666656
House38,2018-06-03 10:00:00,2.059375,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7433700000000003,0.0002416666666666667,0.0402016666666667,0.0939266666666667,0.002774999999999999
House38,2018-06-03 11:00:00,2.144311666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.817315,0.0002500000000000001,0.04526999999999999,0.10207666666666666,0.0028983333333333326
House38,2018-06-03 12:00:00,0.6591900000000004,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.3447933333333333,8.500000000000002e-05,0.034913333333333345,0.11620166666666665,0.0027566666666666664
House38,2018-06-03 13:00:00,0.8315083333333335,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.4140149999999998,0.00011000000000000007,0.04622333333333333,0.09437666666666668,0.100445
House38,2018-06-03 14:00:00,2.0445549999999995,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0038049999999999976,0.00012666666666666672,0.038395000000000026,0.09991833333333333,1.701241666666666
House38,2018-06-03 15:00:00,2.419505,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003928333333333334,4.833333333333331e-05,0.04627499999999999,0.11814166666666664,1.6851216666666669
House38,2018-06-03 16:00:00,2.6061183333333338,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003895000000000001,0.00018666666666666666,0.11951166666666665,0.09685166666666667,1.684456666666667
House38,2018-06-03 17:00:00,2.471801666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003516666666666665,0.0002766666666666666,0.0381933333333333,0.0934883333333334,1.6668716666666668
House38,2018-06-03 18:00:00,2.6843966666666668,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002998333333333333,0.0008633333333333338,0.10836500000000003,0.1629999999999999,1.6910916666666664
House38,2018-06-03 19:00:00,2.4055433333333336,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002899999999999999,0.001075,0.04553999999999999,0.15933999999999998,1.4808683333333337
House38,2018-06-03 20:00:00,0.8850316666666665,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0033149999999999985,0.0003516666666666666,0.03968999999999998,0.10523500000000004,0.002375
House38,2018-06-03 21:00:00,0.8536933333333335,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003938333333333332,0.0003533333333333332,0.06211833333333335,0.10136499999999997,0.002606666666666668
House38,2018-06-03 22:00:00,0.7896199999999998,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003779999999999999,0.00042166666666666654,0.048786666666666666,0.150815,0.002518333333333333
House38,2018-06-03 23:00:00,0.9613433333333332,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004481666666666666,0.00030833333333333337,0.048846666666666656,0.15601500000000007,0.002951666666666667
House38,2018-06-04 00:00:00,1.0349883333333336,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003603333333333333,0.0005916666666666669,0.05463500000000001,0.10538666666666664,0.002493333333333334
House38,2018-06-04 01:00:00,1.050388333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.005036666666666668,0.0002133333333333333,0.05382666666666666,0.13150333333333333,0.0032483333333333322
House38,2018-06-04 02:00:00,1.1267116666666663,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004975000000000001,0.0002650000000000001,0.101365,0.127225,0.0032549999999999983
House38,2018-06-04 03:00:00,1.801765,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.6258,0.0005133333333333333,0.07957166666666668,0.15904,0.0024800000000000013
House38,2018-06-04 04:00:00,2.3187233333333337,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7925149999999996,0.0002983333333333334,0.04081833333333333,0.10065833333333332,0.003240000000000001
House38,2018-06-04 05:00:00,2.25327,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.6967083333333337,0.00020833333333333346,0.04909499999999997,0.12561833333333333,0.003301666666666665
House38,2018-06-04 06:00:00,2.110141666666667,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.6672916666666664,0.00021166666666666675,0.04039999999999999,0.124225,0.0033599999999999962
House38,2018-06-04 07:00:00,2.175546666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.6857416666666665,0.00020666666666666674,0.04688333333333334,0.09554000000000007,0.003151666666666665
House38,2018-06-04 08:00:00,2.20393,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7330366666666668,0.0002233333333333335,0.04056333333333335,0.093075,0.0029783333333333346
House38,2018-06-04 09:00:00,2.248511666666667,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7958449999999997,0.0002400000000000001,0.04728500000000002,0.1192366666666667,0.0031216666666666684
House38,2018-06-04 10:00:00,3.744325,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.8488433333333336,0.0004283333333333337,0.048556666666666685,0.11111666666666672,1.3525733333333332
House38,2018-06-04 11:00:00,4.1349833333333335,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.8824816666666664,0.00041333333333333364,0.04181500000000001,0.08639499999999997,1.6861799999999996
