House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,Refrigerator_kW,UPS_kW
House8,2018-06-05 00:00:00,0.6074266666666664,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00010333333333333336,0.6057699999999998,0.0011199999999999997
House8,2018-06-05 01:00:00,0.5642183333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014000000000000004,0.5625899999999998,0.0010150000000000005
House8,2018-06-05 02:00:00,0.5591550000000001,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001549999999999999,0.5575833333333332,0.001155
House8,2018-06-05 03:00:00,0.6466133333333332,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00013666666666666672,0.644915,0.0012883333333333345
House8,2018-06-05 04:00:00,0.2833216666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002583333333333333,0.28185,0.0005183333333333339
House8,2018-06-05 05:00:00,0.2322333333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002400000000000001,0.2307616666666666,0.0004166666666666669
House8,2018-06-05 06:00:00,0.2345416666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00024333333333333344,0.2331066666666667,0.0004250000000000002
House8,2018-06-05 07:00:00,0.2323683333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00021333333333333344,0.23092000000000004,0.0004216666666666668
House8,2018-06-05 08:00:00,0.2330383333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002300000000000001,0.2315933333333333,0.0004166666666666669
House8,2018-06-05 09:00:00,0.3437516666666668,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00018166666666666665,0.3421733333333333,0.0006666666666666669
