House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW
House31,2018-06-03 00:00:00,4.019198333333332,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0027966666666666648,1.1336883333333332,0.8420250000000002,0.3604966666666666,0.028673333333333363,0.16219666666666666
House31,2018-06-03 01:00:00,2.7353116666666657,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0017983333333333323,0.44933333333333336,0.13201833333333338,0.42628833333333344,0.10032666666666663,0.16983
House31,2018-06-03 02:00:00,2.8636250000000008,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001835,0.4315999999999998,0.2928549999999998,0.3845949999999998,0.12404166666666668,0.3606650000000001
House31,2018-06-03 03:00:00,2.0747983333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0020100000000000005,0.4145599999999998,0.007813333333333327,0.265535,0.12526833333333334,0.15747999999999998
House31,2018-06-03 04:00:00,2.3539966666666663,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0021616666666666668,0.41079,0.4762416666666669,0.3134283333333334,0.03575666666666673,0.16466
House31,2018-06-03 05:00:00,2.19523,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002089999999999999,0.4074633333333334,0.5025149999999999,0.17906166666666667,0.08242333333333332,0.13294166666666662
House31,2018-06-03 06:00:00,2.1380483333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0020549999999999995,0.41254666666666656,0.48257,0.17518999999999998,0.07897666666666664,0.12972666666666666
House31,2018-06-03 07:00:00,2.1265633333333342,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0019666666666666678,0.4214716666666666,0.4489916666666666,0.16725499999999996,0.028313333333333333,0.12817333333333333
House31,2018-06-03 08:00:00,2.5262233333333337,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001945,0.44471833333333344,0.5592999999999999,0.16798,0.10782333333333337,0.17888499999999993
House31,2018-06-03 09:00:00,2.4227133333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002024999999999998,0.46582,0.5659333333333333,0.16301833333333332,0.00015333333333333334,0.13863666666666669
