House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_Reg_kW,AC_MB_kW,AC_BR_kW,WP_kW,AC_kW
House32,2018-06-02 23:00:00,1.966651666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.14373833333333338,0.4896766666666666,0.5322299999999998,0.03783166666666669,0.0
House32,2018-06-03 00:00:00,0.03229833333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.0027999999999999982,0.008400000000000008,0.009799999999999994,0.0006999999999999996,0.0
House32,2018-06-03 01:00:00,2.6049266666666666,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.15831333333333328,0.5774216666666667,0.6510750000000001,0.06308,0.0
House32,2018-06-03 02:00:00,2.203015,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20684999999999992,0.5433916666666667,0.6387733333333332,0.03835833333333335,0.0
House32,2018-06-03 03:00:00,2.1532350000000005,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20495833333333344,0.6048883333333336,0.6199299999999999,0.03201166666666669,0.0
House32,2018-06-03 04:00:00,2.2161533333333328,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19962333333333326,0.8153283333333332,0.5439016666666666,0.03635999999999998,0.0
House32,2018-06-03 05:00:00,1.5288666666666664,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19008833333333333,0.5309050000000001,0.5362166666666667,0.033498333333333324,0.0
House32,2018-06-03 06:00:00,0.9195450000000002,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17032500000000006,0.06918000000000002,0.4281083333333332,0.035373333333333326,0.0
House32,2018-06-03 07:00:00,1.3190433333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1594333333333333,0.35066666666666657,0.5478883333333331,0.027491666666666657,0.0
House32,2018-06-03 08:00:00,1.4564300000000006,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17083000000000004,0.5453183333333332,0.4740549999999998,0.04782833333333332,0.0
House32,2018-06-03 09:00:00,1.4006333333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.0679033333333333,0.5580816666666668,0.52068,0.040266666666666666,0.0
House32,2018-06-03 10:00:00,1.304558333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.009399999999999995,0.5732133333333335,0.5486300000000001,0.03428166666666668,0.0
House32,2018-06-03 11:00:00,1.5622349999999998,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1820466666666666,0.5912966666666667,0.5751283333333332,0.03478,0.0
House32,2018-06-03 12:00:00,2.121808333333334,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1701116666666667,0.6084999999999998,0.6048033333333335,0.38934,0.0
House32,2018-06-03 13:00:00,2.2867949999999992,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17971000000000004,0.6144783333333331,0.03574666666666667,0.5029266666666669,0.0
House32,2018-06-03 14:00:00,1.2190233333333331,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1993683333333333,0.62383,0.22676166666666656,0.059816666666666636,0.0
House32,2018-06-03 15:00:00,1.3876933333333332,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19738333333333336,0.7084250000000002,0.31545500000000004,0.03818166666666667,0.0
House32,2018-06-03 16:00:00,1.6678783333333331,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.3605283333333334,0.7725816666666668,0.35982499999999995,0.03250499999999998,0.0
House32,2018-06-03 17:00:00,1.311526666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.21019666666666675,0.6578816666666665,0.304595,0.035993333333333336,0.0
House32,2018-06-03 18:00:00,1.2186349999999997,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.12891833333333325,0.5265299999999997,0.19071500000000005,0.03846666666666665,0.0
House32,2018-06-03 19:00:00,3.810333333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20609500000000008,1.7472950000000005,0.205025,0.04186666666666669,0.0
House32,2018-06-03 20:00:00,3.4275733333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.194575,0.7440500000000002,0.857276666666667,0.03117333333333335,0.0
