House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,Kitchen_kW,AC_MBR_kW
House6,2018-11-15 04:00:00,0.7585650000000003,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.999999999999999e-05,0.4273416666666669,0.12411666666666668,0.0002499999999999999
House6,2018-11-15 05:00:00,0.8677833333333332,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,5.166666666666664e-05,0.5379383333333334,0.13372166666666666,0.0002599999999999999
House6,2018-11-15 06:00:00,0.7680349999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.499999999999999e-05,0.4245649999999998,0.13991833333333328,0.0003
House6,2018-11-15 07:00:00,0.6675333333333333,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4e-05,0.38616,0.11737000000000004,9.166666666666672e-05
House6,2018-11-15 08:00:00,0.6897800000000001,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1.6666666666666669e-06,0.4540183333333333,0.10974499999999998,0.00013999999999999996
House6,2018-11-15 09:00:00,0.5786483333333334,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,6.333333333333329e-05,0.2919399999999999,0.13167833333333342,0.00023666666666666674
House6,2018-11-15 10:00:00,0.5243599999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.1666666666666665e-05,0.3161466666666667,0.09532500000000002,0.00011833333333333335
House6,2018-11-15 11:00:00,0.7338883333333333,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.3964983333333333,0.15309500000000004,0.00017999999999999996
House6,2018-11-15 12:00:00,0.6381549999999998,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.4175250000000001,0.10017500000000004,0.00011000000000000007
House6,2018-11-15 13:00:00,0.6403449999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.38344,0.11129500000000002,0.00014666666666666653
House6,2018-11-15 14:00:00,0.4753766666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.000000000000001e-05,0.32463000000000003,0.03420499999999998,6.166666666666666e-05
House6,2018-11-15 15:00:00,0.3062016666666667,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,9.833333333333336e-05,0.24080166666666666,5e-06,0.0
House6,2018-11-15 16:00:00,0.2144716666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,5.83333333333333e-05,0.20744833333333326,1.6666666666666669e-06,0.0
House6,2018-11-15 17:00:00,0.28804,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.999999999999999e-05,0.28081500000000004,0.0,0.0
House6,2018-11-15 18:00:00,0.34156166666666665,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.499999999999998e-05,0.3052950000000001,0.0,0.0
House6,2018-11-15 19:00:00,0.3130466666666669,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.2010016666666666,3.3333333333333333e-06,0.0
House6,2018-11-15 20:00:00,0.3849116666666665,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.24529166666666666,1.1666666666666668e-05,0.0
House6,2018-11-15 21:00:00,0.4758333333333333,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00010000000000000003,0.3062216666666666,1.3333333333333335e-05,0.0
House6,2018-11-15 22:00:00,0.3835716666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.33333333333333e-05,0.3033833333333333,0.0,0.0
House6,2018-11-15 23:00:00,0.5036316666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,6.333333333333329e-05,0.31780666666666674,8.333333333333334e-06,0.0
