House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DR_kW,Kitchen_kW,UPS_kW
House19,2018-06-02 05:00:00,3.0963066666666665,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005050000000000001,0.00036,0.20724333333333333,0.20234333333333326
House19,2018-06-02 06:00:00,3.120009999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005450000000000001,0.00036833333333333336,0.17295000000000005,0.20048333333333326
House19,2018-06-02 07:00:00,2.4657416666666663,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005250000000000004,0.00026500000000000026,0.16989333333333334,0.19071000000000005
House19,2018-06-02 08:00:00,2.1680116666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005516666666666667,0.00026333333333333336,0.1699383333333334,0.1740350000000001
House19,2018-06-02 09:00:00,2.1281966666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003216666666666665,0.0005683333333333343,0.1689,0.2430783333333333
House19,2018-06-02 10:00:00,1.6799749999999998,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,7.333333333333333e-05,0.634195,0.21444666666666665,0.33385999999999993
House19,2018-06-02 11:00:00,3.0502416666666665,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0001433333333333333,2.08965,0.22214833333333334,0.3483033333333333
House19,2018-06-02 12:00:00,0.9380183333333332,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,9.333333333333336e-05,0.00010166666666666668,0.3674616666666666,0.307795
House19,2018-06-02 13:00:00,0.9752666666666668,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,4.500000000000001e-05,7.833333333333333e-05,0.4631083333333332,0.278015
House19,2018-06-02 14:00:00,1.7158666666666669,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004433333333333336,0.00010166666666666672,0.35457,0.19266166666666665
House19,2018-06-02 15:00:00,1.6398983333333326,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.20696333333333333,0.0002366666666666665,0.2974216666666667,0.3404683333333333
House19,2018-06-02 16:00:00,2.8593783333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,2.0853516666666665,0.00016999999999999999,0.2191783333333334,0.3232483333333335
House19,2018-06-02 17:00:00,2.50031,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.170806666666667,0.00017166666666666662,0.21987000000000007,0.3095233333333333
House19,2018-06-02 18:00:00,0.8941416666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0009516666666666674,0.00012500000000000014,0.191055,0.11309166666666652
House19,2018-06-02 19:00:00,0.27335166666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003466666666666668,5.4999999999999975e-05,0.17464833333333332,0.017871666666666668
House19,2018-06-02 20:00:00,0.25195499999999993,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003316666666666666,2.666666666666668e-05,0.17889833333333335,0.017526666666666666
House19,2018-06-02 21:00:00,2.009085,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003183333333333333,1.0531899999999998,0.3762649999999999,0.4037133333333335
House19,2018-06-02 22:00:00,3.191383333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0002166666666666666,2.3637850000000005,0.28250499999999995,0.3528483333333333
House19,2018-06-02 23:00:00,3.770963333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0001716666666666666,0.0013183333333333332,0.28073000000000004,0.22025333333333344
House19,2018-06-03 00:00:00,4.014606666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00021,0.0014800000000000006,0.21876500000000004,0.258155
House19,2018-06-03 01:00:00,3.911985,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00017666666666666658,0.0014383333333333336,0.18865,0.18504500000000002
House19,2018-06-03 02:00:00,3.9258,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00021999999999999995,0.2724016666666667,0.34748,0.20098166666666667
House19,2018-06-03 03:00:00,4.348233333333332,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.000335,0.8978949999999997,0.3899783333333332,0.25713833333333336
House19,2018-06-03 04:00:00,3.3963366666666657,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005033333333333334,0.0004966666666666667,0.32223166666666664,0.15270833333333328
House19,2018-06-03 05:00:00,3.133653333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005199999999999998,0.00037500000000000017,0.29814166666666675,0.17556333333333338
House19,2018-06-03 06:00:00,3.066198333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005266666666666665,0.00038166666666666666,0.1951483333333333,0.17343000000000006
House19,2018-06-03 07:00:00,2.715948333333332,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005399999999999998,0.000353333333333333,0.17441499999999993,0.16566833333333328
House19,2018-06-03 08:00:00,3.0562033333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.000538333333333333,0.0004500000000000002,0.16837333333333335,0.09041666666666663
House19,2018-06-03 09:00:00,3.351471666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005783333333333332,0.000505,0.15058833333333335,0.060838333333333376
House19,2018-06-03 10:00:00,1.7595450000000001,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003916666666666663,0.0003133333333333333,0.1655,0.15754833333333332
House19,2018-06-03 11:00:00,2.765578333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00014,1.9565733333333333,0.21604166666666666,0.3359866666666667
House19,2018-06-03 12:00:00,3.6427233333333335,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004816666666666666,1.5942200000000006,1.35345,0.3899199999999999
House19,2018-06-03 13:00:00,0.8126916666666665,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005950000000000003,0.0001583333333333333,0.2425466666666667,0.36001833333333344
House19,2018-06-03 14:00:00,0.51674,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00015,8.499999999999999e-05,0.2336733333333333,0.20590999999999998
House19,2018-06-03 15:00:00,0.5006499999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00019666666666666666,9.333333333333336e-05,0.22748000000000002,0.16477166666666665
House19,2018-06-03 16:00:00,1.94006,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.2849466666666667,1.0207866666666667,0.228675,0.233835
House19,2018-06-03 17:00:00,2.510003333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.2015600000000004,0.3275666666666665,0.34492333333333325,0.37284
House19,2018-06-03 18:00:00,2.2756483333333337,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.28014,0.922935,0.4617616666666666,0.36724
House19,2018-06-03 19:00:00,2.024953333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.04165,1.0751916666666679,0.4097116666666666,0.3091133333333334
House19,2018-06-03 20:00:00,2.969896666666668,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.949191666666666,0.00013166666666666668,0.3667600000000001,0.36964666666666657
House19,2018-06-03 21:00:00,3.842311666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.15882666666666678,2.408321666666668,0.4392,0.2378750000000001
