House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW,UPS_kW
House10,2018-06-04 02:00:00,2.601593333333334,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00010500000000000003,2.121946666666666,0.205275,0.2576283333333333
House10,2018-06-04 03:00:00,2.547379999999999,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,9.666666666666672e-05,2.1105233333333326,0.19857000000000008,0.22165833333333332
House10,2018-06-04 04:00:00,2.4399466666666663,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00011500000000000007,2.0781533333333333,0.19604499999999994,0.1491433333333333
House10,2018-06-04 05:00:00,2.413875,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00014500000000000006,2.057783333333333,0.19447500000000004,0.14498833333333333
House10,2018-06-04 06:00:00,2.3938900000000003,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00014833333333333335,2.0380700000000003,0.19251833333333326,0.14667
House10,2018-06-04 07:00:00,2.0131966666666665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0001233333333333333,1.6752666666666665,0.14257166666666665,0.18147
House10,2018-06-04 08:00:00,2.5072799999999997,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,2e-05,2.1386683333333334,0.16836833333333334,0.17974166666666666
House10,2018-06-04 09:00:00,2.666075,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,4.1666666666666665e-05,2.285263333333333,0.21128166666666665,0.15403166666666665
House10,2018-06-04 10:00:00,2.765420000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00011999999999999998,2.33207,0.28816499999999995,0.1290983333333333
House10,2018-06-04 11:00:00,1.557345,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00028166666666666656,1.1685366666666677,0.19513666666666668,0.17952
House10,2018-06-04 12:00:00,2.447426666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00013166666666666668,1.9174649999999989,0.18118,0.3316783333333332
House10,2018-06-04 13:00:00,0.5458033333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003183333333333333,0.0016033333333333325,0.17826666666666666,0.3487350000000002
House10,2018-06-04 14:00:00,0.3619316666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004100000000000003,0.0016716666666666664,0.1921516666666667,0.15154833333333334
House10,2018-06-04 15:00:00,0.34663000000000005,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00033500000000000034,0.0015866666666666679,0.19104500000000005,0.13807500000000006
House10,2018-06-04 16:00:00,0.3671533333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00043000000000000015,0.0014616666666666654,0.17789666666666662,0.17252166666666666
House10,2018-06-04 17:00:00,0.4644966666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003083333333333333,0.001483333333333333,0.23062166666666664,0.2163633333333334
House10,2018-06-04 18:00:00,0.5090666666666668,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0002599999999999999,0.0015133333333333348,0.2474633333333334,0.2439300000000001
House10,2018-06-04 19:00:00,0.5262900000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00032666666666666684,0.0015683333333333337,0.2167333333333334,0.2916583333333334
House10,2018-06-04 20:00:00,2.165875,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,1.7395683333333334,0.0016983333333333306,0.20030166666666674,0.20826333333333336
House10,2018-06-04 21:00:00,1.9737316666666664,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,1.5273583333333332,0.001668333333333332,0.19443166666666664,0.23432
House10,2018-06-04 22:00:00,0.6386283333333332,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.030035000000000003,0.0015316666666666675,0.19778333333333334,0.3936100000000001
House10,2018-06-04 23:00:00,0.6212849999999998,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.032095000000000005,0.0014016666666666667,0.1778533333333334,0.3951566666666668
House10,2018-06-05 00:00:00,0.43553166666666665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.03768333333333334,0.0015916666666666672,0.17569166666666666,0.2040583333333334
House10,2018-06-05 01:00:00,0.2542116666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.03541166666666668,0.0014833333333333315,0.184145,0.01805500000000001
House10,2018-06-05 02:00:00,0.8852416666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.03385833333333335,0.0015033333333333329,0.1671166666666667,0.135075
