House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,Kitchen_kW,LR_kW,AC_BR_kW.1
House15,2018-06-02 09:00:00,3.800349999999999,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.8273266666666667,0.31537333333333345,0.0177,0.00159
House15,2018-06-02 10:00:00,3.2438416666666665,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.6926783333333334,0.4871616666666666,0.02417666666666663,0.001373333333333335
House15,2018-06-02 11:00:00,2.262855,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0022249999999999987,0.4570266666666668,0.00816166666666667,0.001051666666666667
House15,2018-06-02 12:00:00,1.78137,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.003133333333333332,0.4573000000000001,0.19435166666666664,0.0010149999999999998
House15,2018-06-02 13:00:00,1.7198616666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002844999999999999,0.5036266666666667,0.10361166666666674,0.000996666666666667
House15,2018-06-02 14:00:00,1.5377566666666669,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0026699999999999988,0.4588583333333333,0.10417333333333333,0.0009033333333333332
House15,2018-06-02 15:00:00,1.499585,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002826666666666666,0.4741716666666666,0.1556716666666666,0.0009749999999999996
House15,2018-06-02 16:00:00,1.642061666666666,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0030133333333333344,0.5030616666666666,0.1950833333333334,0.0009733333333333336
House15,2018-06-02 17:00:00,1.6898499999999994,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0027133333333333324,0.4868483333333333,0.18962500000000004,0.0010083333333333335
House15,2018-06-02 18:00:00,1.6702499999999996,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0029416666666666675,0.4971333333333333,0.19615166666666667,0.0012366666666666678
House15,2018-06-02 19:00:00,1.666643333333334,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0032150000000000013,0.4925583333333334,0.20407166666666665,0.001178333333333333
House15,2018-06-02 20:00:00,1.51664,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002988333333333332,0.4400666666666667,0.18184666666666674,0.0010599999999999995
House15,2018-06-02 21:00:00,1.3759866666666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0026616666666666663,0.4479066666666668,0.10859666666666667,0.0010666666666666665
House15,2018-06-02 22:00:00,3.915573333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.2217683333333331,0.4760466666666667,0.017434999999999968,0.0017716666666666673
House15,2018-06-02 23:00:00,3.8184633333333338,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7230500000000012,0.4735283333333333,0.008911666666666668,0.001721666666666666
House15,2018-06-03 00:00:00,3.5839433333333326,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0007666666666666666,0.5021433333333333,0.0019533333333333334,0.001561666666666667
House15,2018-06-03 01:00:00,2.9191216666666664,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0007783333333333332,0.4898283333333333,0.001835,0.001571666666666668
House15,2018-06-03 02:00:00,2.798283333333335,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0008933333333333334,0.5521316666666667,0.03220166666666666,0.0015016666666666661
House15,2018-06-03 03:00:00,2.979011666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7691066666666667,0.4763516666666668,0.11449000000000005,0.0013250000000000002
House15,2018-06-03 04:00:00,4.048478333333334,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.5843683333333336,0.4142116666666668,0.025908333333333314,0.001610000000000001
House15,2018-06-03 05:00:00,3.077525,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.0603166666666666,0.3200516666666667,0.0015149999999999994,0.0014699999999999995
House15,2018-06-03 06:00:00,3.158583333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.0036383333333332,0.31369833333333336,0.0008683333333333338,0.0015316666666666673
House15,2018-06-03 07:00:00,2.9450266666666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.6524449999999999,0.305385,0.001548333333333333,0.00151
House15,2018-06-03 08:00:00,2.8917649999999995,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7910466666666666,0.4506850000000001,0.0010850000000000005,0.0013216666666666676
House15,2018-06-03 09:00:00,3.591873333333334,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.8900516666666668,0.4732183333333336,0.0012500000000000002,0.0015950000000000005
House15,2018-06-03 10:00:00,3.89281,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.0736816666666666,0.4762516666666668,0.0015533333333333328,0.0016799999999999994
House15,2018-06-03 11:00:00,3.873466666666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.992031666666667,0.4627033333333334,0.001358333333333333,0.0014800000000000002
House15,2018-06-03 12:00:00,2.7776300000000003,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.1862083333333338,0.44506666666666667,0.01595333333333333,0.001011666666666667
House15,2018-06-03 13:00:00,0.38101333333333387,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.17512666666666732,0.07231666666666653,0.012449999999999972,0.00016166666666666668
House15,2018-06-03 14:00:00,1.0250216666666665,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.00525166666666667,0.2849033333333333,0.05247666666666668,0.0006266666666666668
House15,2018-06-03 15:00:00,1.6516733333333324,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002688333333333333,0.4596316666666668,0.17699500000000004,0.0009433333333333336
House15,2018-06-03 16:00:00,0.7544733333333331,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.00128,0.1931933333333335,0.07908999999999995,0.0003783333333333332
House15,2018-06-03 17:00:00,1.8396066666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0029883333333333337,0.4944500000000001,0.19454666666666667,0.0009599999999999999
House15,2018-06-03 18:00:00,1.8409799999999998,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0029500000000000004,0.5403066666666667,0.19866500000000006,0.0010816666666666663
House15,2018-06-03 19:00:00,0.017285,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0,0.0053000000000000035,0.0020650000000000017,0.0
