House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Refrigerator_kW
House5,2018-06-02 16:00:00,1.3883883333333331,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.001101666666666667,0.4029633333333334,0.19279833333333327
House5,2018-06-02 17:00:00,1.0194333333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0012049999999999995,0.3317799999999999,0.4269166666666668
House5,2018-06-02 18:00:00,2.2591300000000003,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.020563333333333333,0.3677616666666667,0.31805500000000003
House5,2018-06-02 19:00:00,1.9177116666666665,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.03443333333333333,0.3783949999999999,0.41333000000000003
House5,2018-06-02 20:00:00,0.8913316666666667,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.029053333333333306,0.38094,0.2675216666666666
House5,2018-06-02 21:00:00,2.1646816666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.02987833333333333,0.4774900000000001,0.3958416666666667
House5,2018-06-02 22:00:00,0.8626033333333335,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.03074999999999999,0.3616333333333335,0.2563733333333333
House5,2018-06-02 23:00:00,0.8182900000000001,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.030874999999999975,0.23465,0.35299
House5,2018-06-03 00:00:00,0.5868099999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.030873333333333326,0.15572833333333333,0.19894833333333334
House5,2018-06-03 01:00:00,0.8146499999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.03193833333333332,0.2691166666666667,0.2651083333333332
