House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,AC_BR_kW.1,AC_BR_kW.2
House23,2018-06-03 11:00:00,1.031353333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.20868500000000006,0.80175,0.016949999999999996,0.003111666666666665
House23,2018-06-03 12:00:00,1.0452633333333323,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.18544166666666667,0.8408366666666667,0.015869999999999995,0.003115000000000001
House23,2018-06-03 13:00:00,1.1318366666666668,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3243416666666666,0.7841666666666666,0.015806666666666663,0.003501666666666666
House23,2018-06-03 14:00:00,1.1340183333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.28793833333333346,0.8212649999999999,0.016583333333333332,0.0034200000000000016
House23,2018-06-03 15:00:00,1.09556,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3309033333333333,0.7447066666666665,0.016353333333333324,0.0035966666666666647
House23,2018-06-03 16:00:00,1.0087983333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.25474,0.6426883333333333,0.016723333333333344,0.003669999999999997
House23,2018-06-03 17:00:00,0.9905833333333331,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2365633333333334,0.3296216666666664,0.01679333333333333,0.1292066666666666
House23,2018-06-03 18:00:00,1.1654783333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.16260833333333335,0.0002349999999999999,0.01761999999999999,0.4219350000000001
House23,2018-06-03 19:00:00,1.75778,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.183275,0.0002783333333333333,0.018358333333333348,1.4232749999999994
House23,2018-06-03 20:00:00,1.2565316666666666,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2282616666666667,0.00022666666666666666,0.017821666666666666,1.005298333333333
House23,2018-06-03 21:00:00,1.146095,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2880000000000001,0.8111633333333333,0.01944166666666668,0.027489999999999983
House23,2018-06-03 22:00:00,1.5850833333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.20503166666666664,1.2022416666666664,0.020391666666666662,0.15741833333333333
House23,2018-06-03 23:00:00,2.980658333333332,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.19827166666666668,0.5214716666666666,0.4670666666666667,0.6240016666666669
House23,2018-06-04 00:00:00,3.2662150000000008,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.0833583333333333,0.5012949999999999,0.7287483333333333,0.52477
House23,2018-06-04 01:00:00,3.1022533333333344,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.11607000000000005,0.4901566666666668,0.6775733333333332,0.4358033333333332
House23,2018-06-04 02:00:00,3.1272483333333323,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.14325,0.4923416666666666,0.5999516666666669,0.50449
House23,2018-06-04 03:00:00,2.0850483333333325,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.12719999999999998,0.4799783333333332,0.16456500000000004,0.6099616666666668
House23,2018-06-04 04:00:00,1.58251,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.06562833333333334,0.3747166666666668,0.11158666666666668,0.4297316666666668
House23,2018-06-04 05:00:00,2.044458333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.08744666666666663,0.4248800000000001,0.27417333333333344,0.43572999999999984
House23,2018-06-04 06:00:00,1.8151266666666663,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.08507666666666669,0.4008966666666668,0.202745,0.41524
House23,2018-06-04 07:00:00,1.3081933333333329,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.06476999999999998,0.3431800000000001,0.00029,0.42712666666666654
House23,2018-06-04 08:00:00,1.9460233333333328,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.298705,0.5001033333333333,0.0007466666666666669,0.4623799999999999
House23,2018-06-04 09:00:00,1.018171666666667,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.379705,0.4335500000000001,0.0003166666666666665,0.13135666666666654
House23,2018-06-04 10:00:00,0.1296633333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.02444166666666657,0.09275666666666668,0.00012166666666666668,0.0006183333333333335
House23,2018-06-04 11:00:00,0.9557033333333336,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.21563833333333327,0.7369450000000004,0.0002933333333333333,0.002826666666666666
House23,2018-06-04 12:00:00,1.0109916666666665,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.4141833333333335,0.5624816666666668,0.0005266666666666669,0.003911666666666668
House23,2018-06-04 13:00:00,0.9359483333333336,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3567933333333333,0.5747883333333331,0.0004133333333333333,0.0039533333333333295
House23,2018-06-04 14:00:00,0.872765,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3037933333333333,0.564765,0.0003216666666666666,0.0038849999999999983
House23,2018-06-04 15:00:00,0.05153833333333346,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.05044499999999996,0.00035166666666666663,5e-06,0.000736666666666669
House23,2018-06-04 16:00:00,0.4036350000000001,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.2468016666666667,0.001308333333333333,0.00018499999999999994,0.003554999999999999
House23,2018-06-04 17:00:00,0.8468583333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3233583333333333,0.0016583333333333318,0.000515,0.004256666666666669
House23,2018-06-04 18:00:00,1.0083266666666666,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.34852333333333324,0.0016916666666666645,0.00063,0.004223333333333334
House23,2018-06-04 19:00:00,0.5237183333333335,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.34312833333333337,0.0014383333333333336,0.00028666666666666673,0.004281666666666668
House23,2018-06-04 20:00:00,0.35222,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.3462199999999999,0.0014750000000000002,8.499999999999999e-05,0.0044399999999999995
House23,2018-06-04 21:00:00,1.0069533333333334,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.34800833333333336,0.3541883333333333,0.000385,0.004078333333333332
House23,2018-06-04 22:00:00,2.075728333333333,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.20116333333333344,1.32429,0.0009699999999999996,0.003291666666666663
House23,2018-06-04 23:00:00,2.9215249999999986,4900.51,2,2005,10.0,No,10,5.0,2.0,1.0,2.0,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,2,1,6,1,0.17052166666666668,0.7946316666666667,0.4410566666666667,0.3076450000000001
