House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,UPS_kW,AC_LR_kW,Kitchen_kW,AC_MBR_kW
House7,2018-06-03 15:00:00,0.8089916666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.19726333333333326,0.001996666666666666,0.17897166666666664,0.0012983333333333338
House7,2018-06-03 16:00:00,0.8372749999999997,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.21864833333333336,0.0019716666666666667,0.17089333333333334,0.001388333333333334
House7,2018-06-03 17:00:00,0.762005,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3488166666666665,0.001994999999999999,0.17543833333333336,0.0011950000000000005
House7,2018-06-03 18:00:00,2.5549166666666663,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5969816666666664,1.4623366666666664,0.2925633333333333,0.004080000000000001
House7,2018-06-03 19:00:00,0.6724216666666669,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3304949999999999,0.005035,0.16356166666666674,0.001546666666666667
House7,2018-06-03 20:00:00,1.0219233333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3814866666666665,0.005231666666666668,0.2494966666666667,0.0013650000000000012
House7,2018-06-03 21:00:00,2.9514183333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.33092833333333344,0.0047266666666666655,0.17768833333333334,0.0007583333333333332
House7,2018-06-03 22:00:00,4.6421566666666685,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3266833333333333,0.004853333333333332,0.17551833333333336,0.0008816666666666675
House7,2018-06-03 23:00:00,4.466854999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2978,0.004803333333333335,0.165645,0.0008133333333333338
House7,2018-06-04 00:00:00,4.418641666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.29059499999999994,0.00487,0.1599366666666666,0.0006133333333333338
House7,2018-06-04 01:00:00,4.174715,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3022133333333333,0.0050066666666666645,0.15892,0.0006366666666666674
House7,2018-06-04 02:00:00,3.550628333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.36486,0.00522666666666667,0.22396166666666664,0.0005299999999999998
House7,2018-06-04 03:00:00,3.564388333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3492283333333333,0.0050649999999999975,0.17913166666666666,0.0004133333333333332
House7,2018-06-04 04:00:00,3.742835,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2827533333333335,0.004888333333333333,0.15566500000000005,0.0006016666666666669
House7,2018-06-04 05:00:00,3.3474516666666663,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2862333333333334,0.004976666666666667,0.15434333333333336,0.0006249999999999999
House7,2018-06-04 06:00:00,3.2412433333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.28859499999999993,0.005041666666666667,0.15325833333333333,0.0005616666666666666
House7,2018-06-04 07:00:00,3.3296349999999992,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3807966666666669,0.004786666666666666,0.1397316666666667,0.0006416666666666668
House7,2018-06-04 08:00:00,3.5588766666666682,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3978716666666667,0.003996666666666668,0.02738333333333332,0.000706666666666667
House7,2018-06-04 09:00:00,3.259665,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4424416666666665,0.0045933333333333356,0.08751000000000002,0.0006333333333333334
House7,2018-06-04 10:00:00,1.6102099999999997,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5589616666666666,0.005203333333333337,0.17045166666666664,0.0011116666666666664
House7,2018-06-04 11:00:00,1.1709616666666671,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5046866666666668,0.0051049999999999976,0.16301333333333332,0.0014633333333333336
House7,2018-06-04 12:00:00,1.0513066666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4256333333333333,0.00495,0.15810499999999994,0.0013099999999999993
House7,2018-06-04 13:00:00,0.18800166666666648,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.08179499999999992,0.0008233333333333335,0.027060000000000074,0.00020833333333333327
House7,2018-06-04 14:00:00,1.1662,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5829599999999996,0.004265000000000002,0.14937333333333333,0.0009300000000000002
House7,2018-06-04 15:00:00,2.3871866666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.7096649999999999,0.004859999999999997,0.184185,0.000913333333333334
House7,2018-06-04 16:00:00,3.87364,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.73561,0.004894999999999997,0.186665,0.0010466666666666664
House7,2018-06-04 17:00:00,3.707639999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.7843133333333334,1.79213,0.3166416666666668,0.004491666666666664
House7,2018-06-04 18:00:00,2.847615,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.6950166666666667,1.7178983333333333,0.2995816666666667,0.004296666666666668
House7,2018-06-04 19:00:00,0.8850866666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5142466666666666,0.005208333333333333,0.24000500000000002,0.001306666666666667
House7,2018-06-04 20:00:00,0.9324116666666664,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5441933333333336,0.005073333333333332,0.19846833333333336,0.0011833333333333346
House7,2018-06-04 21:00:00,0.9773116666666664,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.6019066666666666,0.0051016666666666615,0.19291166666666654,0.001156666666666667
House7,2018-06-04 22:00:00,3.117793333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5543549999999999,0.004775,0.17534,0.000753333333333333
House7,2018-06-04 23:00:00,3.7487966666666654,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4850383333333333,0.00493,0.1912083333333333,0.0007983333333333336
House7,2018-06-05 00:00:00,4.763900000000001,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4645883333333335,0.005030000000000002,0.16323499999999996,0.0008249999999999999
House7,2018-06-05 01:00:00,4.565859999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3351916666666667,0.005126666666666666,0.16239999999999993,0.0008416666666666668
